"Timestamp","Company name","HD logo","Twitter handle","Facebook username. ","Linkedin id. ","How would you define your company? What are your core company values ?","Language for communication about you","Introduction Tweet","Meet at their booth Tweet (Startups, Gold and Platinium only)","Special thanks Tweet","Company description","Website","Why become a DevFest Toulouse sponsor ?","Public contact information"
"2019/05/29 5:21:39 PM GMT+2","Continental","https://drive.google.com/open?authuser=0&usp=forms_web&id=19SgbmANIkpdPSN4q70flU2jv92YbVjTa","ContinentalFrance","Continental France","Continental","Our four values form the basis of our joint actions: trust, passion to win, freedom to act and for one other. Together with our vision and mission, our values stand for what drives us forward and how we want to work together.","English","Will be produced later","Will be produced later","Will be produced later","Continental develops pioneering technologies and services for sustainable and connected mobility of people and their goods. 
Founded in 1871, the technology company offers safe, efficient, intelligent, and affordable solutions for vehicles, machines, traffic and transportation. 
In 2018, Continental generated sales of €44.4 billion and currently employs around 245,000 people in 60 countries and markets.","www.continental-corporation.com","At Continental Digital Services France (CDSF), we are convinced that our success depends on the members of our teams and our ""startup"" culture backed by a larger group. Being a Devfest's sponsor is a great opportunity to share with & meet passionate people, guided by curiosity and innovation, eager to make a real impact on the mobility services of the future !",""
"2019/06/05 9:33:11 AM GMT+2","Elastic","https://drive.google.com/open?authuser=0&usp=forms_web&id=1lrFpL7Dd86fhoyLVIiUperiuwkL9ebWw","https://twitter.com/elastic","https://www.facebook.com/elastic.co/","https://www.linkedin.com/company/elastic-co/","Elastic est une entreprise centrée sur la recherche d'informations. En tant que créateurs de la Suite Elastic (Elasticsearch, Kibana, Beats et Logstash), nous développons des solutions SaaS et auto-hébergées qui vous permettent d'exploiter vos données à grande échelle et en temps réel, afin de répondre à vos besoins de recherche, de logging, de sécurité et d'analyse. En savoir plus sur www.elastic.co","Français","🤗 @ElasticFR est partenaire de DevFest Toulouse! La référence pour tous vos besoins de search, logging et analytics!","Will be produced later","Will be produced later","Nous sommes les créateurs de la suite Elastic: Elasticsearch, Kibana, Beats et Logstash. Recherchez, analysez et visualisez vos données da façon sécurisée et fiable.","https://www.elastic.co/","DevFest Toulouse est l'événement incontournable de la région pour les développeurs. C'est une opportunité unique pour nous d'échanger avec nos clients et utilisateurs.","https://www.elastic.co/fr/contact"
"2019/06/05 5:25:29 PM GMT+2","NEO-SOFT Groupe","https://drive.google.com/open?authuser=0&usp=forms_web&id=1_VluJGm0IqvM-9Squ8hznUE92RNHSwAJ","@NeoSoft_","Néo-Soft Groupe","Néo-Soft Groupe","Créé en 2005 à Rennes par son PDG actuel, le Groupe Néo-Soft est aujourd’hui reconnu pour l’expertise de ses 1 300 consultants et ses 16 implantations.
Néo-Soft est une société de Conseil en Informatique et Technologies spécialisée dans 5 domaines : 
- Conseil & Gestion de projet 
- Domaine applicatif
- Infrastructures & Réseaux 
- Cybersécurité grâce notre filiale dédiée Cogital 
- Data
Une offre diversifiée pour accompagner nos clients tout au long de leurs projets.

Nos équipes managériales se mobilisent au quotidien pour illustrer et transmettre les valeurs inhérentes à notre modèle social : Proximité, Accompagnement, Croissance, Technologie & Engagement.
Parce que le bien-être au travail est une priorité, nous accompagnons nos consultants avec sérieux et dans la bonne humeur, une démarche à nouveau récompensée par le label Engagé RSE depuis 2013 et l'obtention du label Happy At Work 2019.
","Français","👋🏻😁 @NeoSoft_ partenaire du #DevFestToulouse cette année ! Expert en Conseil Informatiques & Technologies et acteur de l’innovation, #HappyAtWork2019  #.NET #Angular #Java #ScrumMaster #ambiance","L'esprit de l'IT est en nous ! Tu veux discuter avec des gens sérieux mais qui ne se prennent pas au sérieux ?","Des popcorns, des fléchettes et des quizz hommage aux Grands de l'IT, le tout dans une ambiance de Pub ! Merci à NEO-SOFT d'avoir été sponsor cette année !","Créé en 2005 à Rennes par son PDG actuel Soïg, le Groupe Néo-Soft est aujourd’hui reconnu pour l’expertise de ses 1 300 consultants et ses 16 implantations.
Néo-Soft est une société de Conseil en Informatique et Technologies spécialisée dans 5 domaines : 
- Conseil & Gestion de projet 
- Domaine applicatif
- Infrastructures & Réseaux 
- Cybersécurité grâce notre filiale dédiée Cogital 
- Data
Intégrer Néo-Soft c'est la possibilité de développer son expertise dans une entreprise innovante et responsable où la proximité est une réalité.
Nous recrutons sur toute la France et dans divers secteurs d'activités (Banques & Assurances, Aéronautique, Domotique, Télécoms & Médias etc.). 
Client grands comptes, PME ou start-up innovantes, évoluez dans l'environnement de votre choix.
","https://www.neo-soft.fr/","Parce nous sommes passionnés et toulousains et que le DevFest c'est LE regroupement des passionnées de la Ville Rose et d'ailleurs ! Parce que notre job ne s'arrête pas à satisfaire un client mais à apprendre et partager nos connaissances .","mathieu.delzenne@neo-soft.fr"
"2019/06/07 5:58:45 PM GMT+2","SMILE","https://drive.google.com/open?authuser=0&usp=forms_web&id=13nwbZPYooWb3F3Z6ldrK3nEAUzjS_5iK","@GroupeSmile","Smile - Open Source Solutions","https://www.linkedin.com/company/smile/","Avec de l’audace et des beaux projets, ajoutez une pincée de culture visionnaire, une bonne dose d’innovation, saupoudrez le tout d’une expertise technique pluridisciplinaire et vous obtenez Smile, le leader européen du digital ouvert, expert du digital et de l’open source (conseil, intégration et infogérance).","Français","@GroupeSmile acte sa première participation au #devfestToulouse. Fort de son implantation en #Occitanie sur les plus beaux projets #web, #Embarqués et #IoT de la région, le groupe nous communique son amour pour l' #OpenSource et l'#innovation💙
Bienvenue à ce nouveau partenaire !","@GroupeSmile chamboule le(s) code(s) ! Viens sur son stand découvrir son expertise #OpenSource, obtenir des livres blancs, gagner des cadeaux, partager ta passion pour le #développement. Ils recrutent des experts du #Web, de la #Data de l'#IoT de l' #Embarqué et du #Cloud !","Will be produced later","Avec de l’audace et des beaux projets, ajoutez une pincée de culture visionnaire, une bonne dose d’innovation, saupoudrez le tout d’une expertise technique pluridisciplinaire et vous obtenez Smile, le leader européen de l’intégration et de l’infogérance de solutions open source.

Agiles, open et engagés, chez Smile, nous adorons avoir un coup d’avance pour garder notre place sur le podium des acteurs majeurs du digital. Pour cela, nous avons développé 4 offres pour vous accompagner dans votre transformation numérique : Digital, Business App, Embedded & IoT et Infra.

Pour finir cette première présentation, une question primordiale… « Que serions-nous sans les femmes et les hommes qui font tourner la jolie machinerie Smile ? ». Au quotidien, ce sont 1700 smiliens présents dans 7 pays qui s’agitent et cogitent pour mener à bien les projets stratégiques de nombreux grands comptes français et européens.","https://www.smile.eu/","Nous avons toujours été proche des développeurs, puisque ce sont 4 d'entre eux qui nous ont fondés. Notre ADN repose donc sur la technique, et la passion pour la contribution, le collectif. Il est donc dans notre culture d'être partie prenante sur les événements auxquels nous croyons. Implanté en Occitanie depuis quelques temps, SMILE a pour souhait de se développer, et pour cela, nous souhaitons renforcer notre proximité avec les acteurs de l'écosystème IT Toulousain.","Laurent Lacaze
laurent.lacaze@smile.fr 
0621324393"
"2019/06/11 10:30:10 AM GMT+2","Berger Levrault","https://drive.google.com/open?authuser=0&usp=forms_web&id=1MSldgjX3Y_lnmQb1HxBLm6Jz8jyKEhRG","@bergerlevrault","pas de compte facebook","berger-levrault","Éditeur de logiciel multisectoriel et international

Valeurs : 
- La dignité : C’est témoigner notre respect à nos clients qui œuvrent pour le bien commun.
- La bienveillance : C’est adopter une vision humanisée en intégrant la réalité des attentes de nos clients. Écouter, comprendre, expliquer, donner du sens à l’action, favoriser le bien-être et l’épanouissement de nos équipes.
- Le renoncement : C’est privilégier la réussite collective. Savoir distinguer ce qui mérite d’être conduit dans le but de faire le meilleur choix.
","Français","@bergerlevrault est partenaire du #DevFestToulouse pour cette 3e édition ! Éditeur international de solutions logicielles pour une transformation numérique utile pour tous, nous sommes fiers de compter sur leur soutien. 
#TransNum #innovation #BergerLevrault #GoDigital
","@bergerlevrault invente et développe des solutions au service des usages collectifs. Leurs équipes internationales recherchent des #développeurs pour participer à cette aventure humaine et technologique. #fullstack #Javascript Passez sur leur stand au #DevFestToulouse. #Job","L'enthousiasme et la bienveillance de l'équipe @bergerlevrault ont favorisé des échanges enrichissants en plaçant l'humain au cœur de l'innovation. Merci d'avoir été cette année Sponsor Gold. #DevFestToulouse","Berger-Levrault, éditeur de logiciel international et multisectoriel, accompagne les professionnels privés et publics à répondre aux exigences croissantes de performance dans leurs métiers et les citoyens dans leur vie quotidienne.

Le Groupe adresse les secteurs suivants : Secteur public local; Social et médico-social; Sanitaire; Entreprises et industrie; Éducation.

Pour l’ensemble de ses secteurs d’activité, Berger-Levrault a développé une gamme de logiciels et de services adaptée aux besoins spécifiques de chaque métier. 
","https://www.berger-levrault.com","Berger-Levrault, en pleine expansion nationale et internationale, se distingue par sa pérennité exceptionnelle grâce à sa capacité d'anticipation des innovations. Le développement étant notre cœur de métier, c'est tout naturellement que nous souhaitons participer au ""Developers Festival"" et rencontrer des talents pour vivre une aventure humaine et technologique au sein de Berger-Levrault.","Berengere.MOUSSARD@berger-levrault.com"
"2019/06/11 6:19:48 PM GMT+2","MonkeyPatch","https://drive.google.com/open?authuser=0&usp=forms_web&id=1YWV7M4afXApJMe1pxFd2F14DFUJQl1N4","@monkeypatch_io","","MonkeyPatch.io","MonkeyPatch est une équipe de dév. passionnés, experte dans les domaines du Web, Mobile, Cloud, DevOps et BigData. Nous aimons les challenges technologiques et avons du temps dédié à la veille tech. Nous sommes tous acteurs des choix de notre entreprise.
Nos valeurs fondamentales sont : l’esprit d’équipe, l’expertise, la passion, l’innovation, le conseil et la transparence.","Français","📢 Nous sommes fiers de vous annoncer que pour la 3ème fois consécutive, @MonkeyPatch_io, est partenaire du #DevFestToulouse 🐵
Cette équipe de passionnés, reconnue pour son expertise en #Web #Mobile #Cloud #BigData, vous réserve de belles surprises 🎮!
Merci pour le soutien 👏","Il paraît que @MonkeyPatch_io prépare pas mal de surprises pour cette année au #devfesttoulouse 👀🙈
Venez rencontrer l’équipe et partager un moment autour d’un MonkeyGame 🎮
Suivez leur compte et passez les voir sur leur stand !","Nous reviendrons vers vous après l’événement pour ce tweet.","MonkeyPatch est avant tout une équipe constituée de développeurs ayant de solides bagages techniques et des références significatives dans les nouvelles technos et les architectures modernes.

Avec au moins 5 ans d’expérience, chacun de nous souhaite rester au plus près du code et partager sa passion de l'informatique avec la communauté de développeurs et les équipes de nos clients.
Experts en Web, Mobile, Cloud, DevOps et/ou BigData, nous intervenons en tant qu’architecte et développeur senior sur des stacks modernes pour aider nos clients à relever leurs challenges technologiques.

Cultivant l’esprit d’équipe et privilégiant l’humain, nous ambitionnons, à terme, d’être une trentaine de Monkeys sur Toulouse.
","http://www.monkeypatch.io/","Ancrée dans nos valeurs, la passion de la tech. nous motive à soutenir les initiatives qui permettent de promouvoir, d’échanger ou de partager autour des nouvelles technos et des architectures modernes.
C’est donc naturellement que l’on a décidé de soutenir  les conférences en Occitanie (DevFest Toulouse, SunnyTech) et les meetups (GDG Toulouse, JUG Toulouse).
Une conférence comme le Devfest permet à un grand nombre de développeurs d’avoir accès à des conférences de qualité. C’est également une belle occasion pour que certains Monkeys pitchent des talks reprenant leur veille ou leurs retours d’expérience.","hello@monkeypatch.io
05 82 95 68 06"
"2019/06/20 10:08:38 PM GMT+2","Lyra Network","https://drive.google.com/open?authuser=0&usp=forms_web&id=1h-3srvhyJ3wyn4Olt6HZHlzikZOzKlFL","@LyraNetwork","","Lyra Network","Engagement, transparence, ambition, ouverture, excellence","Français","","","","LYRA NETWORK est née en 2001 de la rencontre entre des savoir-faire, la technologie et  l’esprit visionnaire de ses fondateurs. Leader en France dans la sécurisation des paiements, Lyra Network offre des services à valeurs ajoutées pour le commerce de proximité et le paiement en ligne (PayZen®).

Sa présence internationale, fait de cette société 100% Française, un acteur incontournable du marché de la monétique. Nos clients tels que les banques, les collectivités, les e-commerçants et le commerce de détail s’appuient sur nos outils pour connecter, sécuriser et gérer leurs données sensibles.

Innovation,  anticipation et évolution des habitudes de paiement nous mènent à développer de nouveaux services toujours plus novateurs sur des technologies de pointe telles que le Mpos (mobile payment), les offres SEPA et e-facture via SEPAmail.

Forte de sa succès story depuis ses premières heures, LYRA NETWORK renforce continuellement ses équipes en maîtrisant sa croissance afin de préserver l’environnement de travail.","https://lyra.com/fr/","Le DevFest est LE rendez-vous annuel incontournable pour tout passionné de développement qui se respecte ! Partenaire du DevFest depuis sa première édition, nous sommes fiers de partager les mêmes valeurs et d'encourager l'échange et le partage autour des nouvelles technologies. C'était donc une évidence de sponsoriser un tel événement qui associe aussi bien des conférences de qualité et un cadre propice à l'échange où l'ambiance est chaque année au rendez-vous !","ophelie.lomuto@lyra-network.com"
"2019/06/27 3:39:23 PM GMT+2","Liberty Rider","https://drive.google.com/open?authuser=0&usp=forms_web&id=1rZhgLJ2NnfGjI_lOBayFwFsIR_CEiXW0","_LibertyRider_","LibertyRiderApp","liberty-rider","Notre mission : sauver des vies
Nos valeurs : bienveillance, efficacité, intérêt général","Français","","","","Sauver des vies !
L'application Liberty Rider est pensée comme un guide sherpa, un carnet de route, un passeport. Elle permet au motard de gagner sa liberté en toute sérénité. Préparation, accompagnement, suivi, et plus que tout, protection. 
Nous mettons l’intelligence artificielle au service de l’utilisateur. Grâce à des algorithmes inédits, nous sommes capable d’appeler les secours en cas d’accident et d'émettre une alerte à l’approche d’un virage dangereux pour signaler un danger.
Notre centre d'assistance couvre 10 pays européens et est ouvert 24/7.
En interne nous encourageons une ambiance de travail bienveillante, collaborative, et transparente. Nous progressons ensemble car nous nous faisons confiance. Nous sommes une vingtaine de passionnés, et nous t'attendons.","https://liberty-rider.com","Les membres de la team Liberty sont à Toulouse, donc le DevFest on le connait bien. Entre les différentes conférences auquelles on va, c'est celle où l'on croise le plus de copains. Nos sujets de talk préférés ? Développement mobile natif, cloud, devops, et Node.js, GraphQL ou React quand il y en a !
Le DevFest Toulouse c'est une super occasion pour élargir son champ de connaissance et discuter avec des passionnés.","martin@liberty-rider.com"
"2019/06/28 2:25:28 PM GMT+2","Intuiface","https://drive.google.com/open?authuser=0&usp=forms_web&id=1SdiNdca1QhUZ9m2WRBDs9hxwPdElnXes","Intuiface","Intuiface","Intuiface","[We believe]
- interactivity is everywhere
- Everyone should have the power to create interactive experiences
- Software should give you that power to create
-Companies should engage with you in an open, transparent and personalized way

[Who We Are]

In 2011, Intuiface dedicated itself to the creation of technology that would make interactivity accessible to the masses, releasing a software platform infused with its DNA. Since that time, and at the lightning speed of four major releases per year, Intuiface has become the leading, globally recognized solution for creating gratifying, meaningful and measurable interactive experiences without writing code. ","English","We are proud to announce a new #devfesttoulouse sponsor, @Intuiface - the world's premier interactive digital signage software from Toulouse! 

#digitalsignage #frenchtech #software #interactive #nocoding","will provide later","will provide later","Intuiface is the world’s premier platform for creating, deploying, measuring and managing deeply interactive digital experiences without writing code. Over 1500 companies across 70+ countries are connecting people to place using interactive options such as touch, RFID/NFC, beacons, Web APIs, Internet of Things, and much more. For any industry – including retail, hospitality, real estate, tourism, education – and for any intent – from digital signs to self-service kiosks and assisted selling.","www.intuiface.com","In 2011, we started as a small team of developers from Toulouse that is dedicated to the creation of technology that would make interactivity accessible to the masses, releasing a software platform infused with its DNA. Ever since, we have been aspiring to deliver a solution that gives everyone the power to create interactive experiences. With our Dev team in the heart of our evolution, we are excited to support this event organized for like-minded people who are also our inspiration.","email: info@intuiface.com
phone(international headquarters): +33 5 62 24 39 77"
"2019/07/10 5:28:19 PM GMT+2","Cirruseo part of Accenture","https://drive.google.com/open?authuser=0&usp=forms_web&id=1oy1hMj2B9ddyAl2Zbz80l_LgEOYn1c5h","https://twitter.com/cirruseo","Cirruseo part of Accenture","Cirruseo","Créé en 2011, Cirruseo est l’un des principaux partenaires de Google Cloud en France et l’un des plus importants acteurs français spécialisés exclusivement dans les services Google Cloud. Cirruseo accompagne ses clients dans leur transformation numérique, de l’expérience collaborateur autour des solutions Chrome et G Suite, à celle des métiers avec les services de Google Cloud Platform. Les solutions digitales de Cirruseo sont mobiles, intègrent la Data et l’Analytics by design, et sont conçues pour et par le Cloud. En 2019, Cirruseo a été classé parmi les 1 000 entreprises les plus dynamiques en Europe par le Financial Times. Depuis sa création, Cirruseo a réalisé 48% de croissance moyenne par an. Elle compte aujourd’hui plus de 600 clients, plus de 100 collaborateurs et deux bureaux à Paris et Toulouse. Plus d’informations : www.cirruseo.com.","Français","","","","Créé en 2011, Cirruseo est l’un des principaux partenaires de Google Cloud en France et l’un des plus importants acteurs français spécialisés exclusivement dans les services Google Cloud. Cirruseo accompagne ses clients dans leur transformation numérique, de l’expérience collaborateur autour des solutions Chrome et G Suite, à celle des métiers avec les services de Google Cloud Platform. Les solutions digitales de Cirruseo sont mobiles, intègrent la Data et l’Analytics by design, et sont conçues pour et par le Cloud. En 2019, Cirruseo a été classé parmi les 1 000 entreprises les plus dynamiques en Europe par le Financial Times. Depuis sa création, Cirruseo a réalisé 48% de croissance moyenne par an. Elle compte aujourd’hui plus de 600 clients, plus de 100 collaborateurs et deux bureaux à Paris et Toulouse. ","www.cirruseo.com","Récemment acquis par Accenture, Cirruseo part of Accenture participe depuis 4 années consécutives au DevFest dans les villes de Paris et Toulouse où nos locaux sont implantés. En tant que pure player et premier partenaire Google Cloud, cet événement constitue une vitrine incontournable pour nous faire connaître de la communauté spécifique que constitue les développeurs et faire la promotion de nos expertises et savoirs faire.","hello@cirruseo.com"
"2019/07/10 5:29:44 PM GMT+2","APSIDE","https://drive.google.com/open?authuser=0&usp=forms_web&id=1EbrejQAZFzJMnEM5-6EENE6AVXRuYAHy","@ApsideGroupe","ApsideGroupe","https://www.linkedin.com/company/apside/about/","Société de conseil et d'ingénierie en systèmes d'information et informatique technique et scientifique","Français","@ApsideGroupe est partenaire du #devfestToulouse ! Être partenaire, c'est soutenir l'IT de demain ! Envie d'intégrer un projet innovant ? Contactez APSIDE ! :)","@ApsideGroupe vous attends nombreux pour passer un bon moment sur leur stand #devfestToulouse... il y a quelques surprises de tailles !! Développeurs, vous pourrez aussi échanger avec des ingénieurs APSIDE ! #onrecrute #ingenieur #developpeur","@ApsideGroupe a réuni un grand nombre de participants sur le #devfestToulouse : innovations, échanges, rires et surpises ! Merci encore pour votre bonne humeur ! ","APSIDE est une société de conseil en ingénierie qui accompagne tous les acteurs de l'écosystème IT sur leurs projets innovants.
Tous nos ingénieurs ont leur spécialité : JAVA, JS, BDD, C#, PHP, C++ ... 
Nous sélectionnons rigoureusement les projets sur lesquels peuvent intervenir nos ingénieurs : caractère innovant, phase d'architecture, produits complets, sujets porteurs et utiles...
C'est ce qui rend totalement satisfaits de leur mission plus de 96% de nos ingénieurs.
Alors, prêt à tenter l'aventure ?

APSIDE, c'est un groupe de plus de 2600 collaborateurs à travers la France... tous répartis en équipes d'experts localisées.
","     http://www.apside.com ","What else ?","STD : 05 61 62 02 03"
"2019/07/10 5:50:18 PM GMT+2","Airbus","https://drive.google.com/open?authuser=0&usp=forms_web&id=1cGlnCEchg9-lkDtJ3ad_ZElrO1Z1uxQR;https://drive.google.com/open?authuser=0&usp=forms_web&id=1Cx0xhBiaLkhJ7h929S5jjC_BQB46aZGV","@airbuscareers","Airbus careers","Airbus","Airbus is an international pioneer in the aerospace industry and a leader in designing, manufacturing and delivering aerospace products, services and solutions to customers on a global scale. We believe that it’s not just what we make, but how we make it that counts; promoting responsible, sustainable and inclusive business practices and acting with integrity. Our people work with passion and determination to make the world a more connected, safer and smarter place, on the ground, in the sky and in space.","English","Merci de bien vouloir nous mentionner lors de la publication de ce tweet en usant :   @airbuscareers","if it is part of the formula chosen by airbus ok","if it is part of the formula chosen by airbus ok","Airbus is an international pioneer in the aerospace industry and a leader in designing, manufacturing and delivering aerospace products, services and solutions to customers on a global scale. We believe that it’s not just what we make, but how we make it that counts; promoting responsible, sustainable and inclusive business practices and acting with integrity. Our people work with passion and determination to make the world a more connected, safer and smarter place, on the ground, in the sky and in space.","https://www.airbus.com/","Airbus wishes to renew its participation because the DEV FEST is an essential event through which it can meet developers and speak/present internal projects related to this field of activity.","Si besoin de communiquer sur instagram :    @weareairbus"
"2019/07/10 6:51:03 PM GMT+2","AXILEO","https://drive.google.com/open?authuser=0&usp=forms_web&id=1PVxfwpOEFDSaSE31W3QKs0IVROUen0_l","AXILEO1","AXILEO","AXILEO","AXILEO est spécialisée dans l'innovation et la transformation digitale des entreprises. La société se distingue par un management innovant, sur le modèle de l'entreprise libérée, où les salariés participent et définissent la stratégie de l'entreprise. ","Français","Cette année, AXILEO participe au @DevFestToulouse  Venez découvrir ce qu'est une entreprise libérée ! be a coder be a hero ;) #it #digital #joinus","Des projets r&d innovants mais pas que, une équipe de talents jeunes et dynamiques qui évoluent dans un contexte internationale à taille humaine, c'est AXILEO. Ils recherchent des #dev tous niveaux d'expérience. Passez sur leur stand au @DevFestToulouse #joinus  ","Merci AXILEO d'avoir été notre sponsor gold pour cet événement. ","AXILEO est spécialisée dans l'innovation et la transformation digitale des entreprises. La société se distingue par un management innovant, sur le modèle de l'entreprise libérée, où les salariés participent et définissent la stratégie de l'entreprise. ","www.axileo.com","C'est la conférence des développeurs fait par des développeurs. Pour rien au monde nous ne manquerons cet événement exceptionnel. C'est une occasion unique pour nous de partager et d’échanger autour des nouvelles technologies.","Alexis Libouban -  Communication Manager - alibouban@axileo.fr 0662965932 "
"2019/07/11 9:32:40 AM GMT+2","JFrog","https://drive.google.com/open?authuser=0&usp=forms_web&id=1g74kCf6HJ_2Ea8vXbG--QTqn0g7CwN_F","@jfrog","@artifrog","455737","JFrog - The Liquid Software Company","Français","L'équipe @jfrog est ravie de faire partie du DevFest Toulouse !! ","bien sûr, l'équipe @jfrog apportera de nouveaux des t-shirts super cool, venez nous voir au stand pour récupérer le votre (ou votre futur job...👩‍💻) ! ","
Quelle belle édition de DevFest Toulouse cette année! Merci à tous qui sont passé nous voir au stand @jfrog et merci aux organisateurs pour cet événement exceptionnel !","JFrog - The Liquid Software Company","jfrog.com","En tant qu’éditeur de logiciels local, nous sommes content de faire partie du DevFest Toulouse de nouveau. C’est un endroit idéal pour rencontrer nos utilisateurs, rencontrer de nouveaux contacts et rappeler à la communauté des développeurs Toulousains que nous avons des emplois géniaux à offrir ;-). De plus, notre propre équipe apprend dans les sessions également et nous pouvons créer des réseaux et échanger avec les autres entreprises partenaires.","pr@jfrog.com 
Tel: +33 (0)5 32 10 87 20
JFrog SAS
21 Boulevard de la Marquette
31000 Toulouse, France"
"2019/07/12 4:15:19 PM GMT+2","Groupe Pierre Fabre","https://drive.google.com/open?authuser=0&usp=forms_web&id=1P5aPlk3DE3FxyFao0l-6lQoGO1X8LCOe","https://twitter.com/PierreFabre","https://www.facebook.com/laboratoirespierrefabre/","https://www.linkedin.com/company/pierre-fabre/","Nous prenons soin de la vie en imaginant et développant des solutions novatrices inspirées par les consommateurs et les patients et contribuant au mieux-être de chacun de la santé à la beauté. 
Nous le faisons avec les professionnels de santé, nos partenaires de confiance partout où nous opérons ; en puisant dans la nature et les plantes une perpétuelle source d’inspiration ; en collaborant avec des chercheurs et des innovateurs partout dans le monde ; en plaçant l’éthique pharmaceutique au cœur de notre action.","Français","Cette année, le Groupe @PierreFabre est partenaire du #devfestToulouse ! Venez découvrir tous ses projets digitaux et innovants au service de la santé et de la beauté ! 
#nature #santé
","","Un parfait mélange entre naturalité, expertise médicale et nouvelles technologies.
Merci au Groupe @PierreFabre d’avoir partagé son expertise et sa passion lors de cet événement !","Créé en 1962 par Pierre Fabre, pharmacien d’officine à Castres (Tarn), le Groupe Pierre Fabre est présent depuis plus de 50 ans sur un continuum d’activités allant des médicaments de prescription aux soins dermo-cosmétiques en passant par la santé grand public.
2ème laboratoire dermo-cosmétique mondial et 2ème groupe pharmaceutique privé français, Pierre Fabre emploie près de 11 000 collaborateurs, détient des filiales dans 47 pays et distribue ses produits dans plus de 130 pays.
En 2019, Ecocert Environnement a évalué la démarche de responsabilité sociétale et environnementale du Groupe selon la norme ISO 26000 et lui a attribué le niveau « Excellence ».","https://www.pierre-fabre.com/fr","Simples partenaires l’an dernier, nous avons été séduits par la dynamique de cet évènement, et nous avons décidé cette année d’aller plus loin. Venez nous rencontrer sur notre stand et découvrir nos projets !
Nous serons présents et en forme pour partager ce moment convivial et vous faire découvrir les initiatives digitales menées par le Groupe Pierre Fabre.
Nous avons hâte de participer à ce rassemblement qui allie nouvelles technologies, rencontres inoubliables et une grande dose de bonne humeur !",""
"2019/07/17 10:18:06 AM GMT+2","Ippon","https://drive.google.com/open?authuser=0&usp=forms_web&id=1hfU9wWHseoRl6DIZRVhRqMucWP8RwJxK","https://twitter.com/ippontech","https://www.facebook.com/ippon.technologies/","https://www.linkedin.com/company/20908","Créé par un ancien sportif de haut niveau, les valeurs de Ippon Technologies sont issues du sport et sont notamment le challenge, l'esprit d'équipe, la transmission et le partage.","Français","🥋@IpponTech est pour la deuxième année consécutive partenaire du #DevFestToulouse ! Accélérateur reconnu de talents et de projets en France, aux USA, en Australie, au Maroc et en Russie. En savoir plus : https://blog.ippon.fr/
#Data #Cloud #Java #JHipster #Agile #Design #Product","","","Ippon est un cabinet de conseil qui accélère les projets innovants de ses clients de la page blanche au Cloud. Nos équipes dans le monde accompagnent les organisations dans la transformation d'idées innovantes en solutions logicielles de haute qualité avec un focus particulier sur le Time To Market.","https://fr.ippon.tech/","Ippon a toujours été au coeur des communautés tech. En s'implantant à Toulouse en 2018, nous avons décider de nous associer avec l'événement de référence : le DevFest Toulouse. ","lblondon@ippon.fr"
